ROI,Media
0.0,4.3923328303797335
1024.0,598.6775670199555
2.0,72.17244038008545
1027.0,584.4441038209811
1028.0,538.8101624996002
1029.0,379.6059497371784
1030.0,634.2111846520385
1031.0,527.9209555311104
8.0,459.9272167208341
1033.0,613.4180105908424
1034.0,506.969091965747
1035.0,629.3516385583316
7.0,106.67315336393882
5.0,152.52746101805403
12.0,314.1136043614665
13.0,0.45934538294057375
10.0,209.53010695145647
17.0,620.4022410276527
18.0,710.0329512226788
11.0,375.36127952251326
16.0,32.702993570816936
4.0,32.306441410508995
15.0,78.52714527076746
14.0,149.73441347753567
24.0,189.1356345728824
1021.0,568.7645645989941
26.0,767.3644561118268
28.0,69.70595871520092
30.0,659.131831577846
31.0,278.22153997898783
1025.0,598.8701894978603
41.0,76.73082711373765
1026.0,650.0997646275226
43.0,33.13072800910336
44.0,80.07324369065677
46.0,40.46278426817145
47.0,572.779043344351
49.0,166.50388760602505
50.0,420.435666832887
51.0,412.33914368554514
52.0,0.0
53.0,621.0644499386805
54.0,685.6390327818748
58.0,670.4653501054421
60.0,69.3138873861848
62.0,478.6132188276811
63.0,348.5434326924069
1032.0,505.9035952506809
77.0,257.4344735489265
85.0,149.39319802628083
251.0,26.16803182670127
252.0,174.562741801488
253.0,96.16782337808844
254.0,78.32708853788154
255.0,59.45605259571986
2034.0,637.3869383923761
2008.0,623.0040258403227
2030.0,623.4025974505269
2031.0,571.1503386736457
2015.0,607.5077200381386
2018.0,590.3163690744381
2035.0,609.8668934099936
2033.0,643.3948862333772
2025.0,591.9832832115608
2001.0,628.2780123080238
2002.0,596.3480611387412
2003.0,494.2885542069358
2005.0,491.06619641917496
2006.0,625.0010952627732
2027.0,420.70589149914264
2007.0,636.3067350350475
1016.0,623.3576664924622
2010.0,594.1106320355025
2011.0,564.8497527914602
2012.0,580.8164532578138
2013.0,587.6928023644649
2014.0,629.2858681019765
2009.0,598.8853919499613
2016.0,627.1422534332754
2017.0,633.408107500895
2029.0,395.9766959621369
2019.0,494.8749353266498
2020.0,596.542278763872
2021.0,432.00614573035836
2022.0,480.7465619758312
2023.0,622.5777265652092
2024.0,576.0164777309233
1001.0,602.6211434681065
1002.0,622.1940287398111
1003.0,550.3800484663626
2028.0,516.5492549834885
2026.0,616.8537923612483
1005.0,627.9725866897962
1006.0,636.4269088891093
2032.0,479.9722865935295
1007.0,623.7597346454269
1008.0,504.5527335824259
1009.0,616.5621432548126
1010.0,607.9256990789946
1011.0,432.7236222409091
1012.0,609.1008104919206
1013.0,636.071495955523
1014.0,644.4848298054821
1015.0,621.0383062657708
1018.0,591.1932623399479
1019.0,575.5354521837038
1020.0,605.6176192845405
1017.0,596.2211953987753
1022.0,456.34393171401814
1023.0,624.6179963808872
